model_key,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_gamma,param_kernel,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_samples,param_num_leaves,param_reg_alpha,param_depth,param_iterations,param_l2_leaf_reg
logreg,Logistic Regression,0.011138105392456054,0.0028105359804489545,0.009593725204467773,0.0014477045323076608,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.0164459228515625,0.0007152160220246229,0.008537864685058594,0.0009105312926624773,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.4944545420133655,0.539607700638376,0.47059685194317175,0.4940969685789379,0.5128667876965375,0.5023245701740777,0.02296714628728289,8,0.5112087382657923,0.4997139043211157,0.5148121107253553,0.5073381810941243,0.5110949774845059,0.5088335823781787,0.005136201463731894,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.017998456954956055,0.0007385221825581224,0.008507537841796874,0.0011656142314108928,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",0.48253822362057697,0.540146811923733,0.48075716425279835,0.4879933117203695,0.5078630896286633,0.49985972022922825,0.022328713440055256,9,0.5077992902221393,0.4949786312592779,0.5103660087534254,0.499000141972994,0.5095065602643727,0.5043301264944419,0.0061825825723646035,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.01629338264465332,0.001997561546055405,0.007825183868408202,0.0008479495233756382,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.5031152949374527,0.5340432621823376,0.47227027821605977,0.4988556366823104,0.5103710707560417,0.5037311085548404,0.0198839083359741,6,0.5105693274611246,0.5007866366561653,0.5164863159525475,0.5071608382714274,0.5141361195490864,0.5098278475780702,0.005519105624342119,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.019444036483764648,0.0014139922925810134,0.007391119003295898,0.0007858109935368382,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",0.5016822191583112,0.5355756706755899,0.47059685194317175,0.5028552164978299,0.5144000251611299,0.5050219966872065,0.02108276098249688,1,0.5134976911181828,0.49975984376021515,0.5102910321100425,0.5129807811476524,0.518683772965396,0.5110426242202977,0.006261581038419618,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.016338634490966796,0.0015477018512962172,0.008604812622070312,0.0011306479046844166,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",0.5054391654788932,0.5340432621823376,0.47227027821605977,0.5004318037588329,0.5103710707560417,0.504511116078433,0.019816459891132766,2,0.5101954209097206,0.5011437038221417,0.5164863159525475,0.5075437457161373,0.5138847751445826,0.5098507923090259,0.005320861101624578,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.01907944679260254,0.0012129907403454342,0.007214498519897461,0.00032460902395821894,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",0.5007806406002533,0.5340432621823376,0.47059685194317175,0.4988556366823104,0.5103710707560417,0.5029294924328229,0.020445328375322144,7,0.509929114886478,0.5018132347871345,0.5148121107253553,0.5087923177029845,0.5138847751445826,0.509846310649307,0.004617714399026708,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.015143537521362304,0.0007357694324835835,0.007435417175292969,0.0008509899108828668,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",0.5054391654788932,0.5340432621823376,0.47227027821605977,0.5004318037588329,0.5103710707560417,0.504511116078433,0.019816459891132766,2,0.5101954209097206,0.5011437038221417,0.5164863159525475,0.5079263645007581,0.5138847751445826,0.5099273160659501,0.0052897919296417285,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.01809210777282715,0.0009560988410563713,0.007755661010742187,0.000695522541198899,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",0.5054391654788932,0.5340432621823376,0.47227027821605977,0.5004318037588329,0.5103710707560417,0.504511116078433,0.019816459891132766,2,0.5101954209097206,0.5007866366561653,0.5158321214962605,0.5075437457161373,0.5138847751445826,0.5096485399845733,0.005281002497696031,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.01668400764465332,0.0013241205471377312,0.008284807205200195,0.0006949058517568331,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",0.5054391654788932,0.5340432621823376,0.47227027821605977,0.5004318037588329,0.5103710707560417,0.504511116078433,0.019816459891132766,2,0.5101954209097206,0.5011437038221417,0.5164863159525475,0.5079263645007581,0.5138847751445826,0.5099273160659501,0.0052897919296417285,,,,,,,,,,,,,,,
